timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps
1781623947.177,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623947.177,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623947.177,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623948.18,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,13,1,0,8,3.1,0,0,0.0,1188584.0,0,0,0,0,2,17,300000,300000
1781623948.18,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,8,2.8,0,0,91752.0,1157624.0,69,0,0,0,2,17,300000,300000
1781623948.18,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,3.6,0,0,95936.0,1134736.0,72,0,0,0,0,15,0,20000000
1781623948.18,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623948.18,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623948.18,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623949.179,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,11,1,0,8,3.0,0,0,0.0,1191016.0,0,0,0,0,2,17,300000,300000
1781623949.179,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,8,2.9,0,0,93104.0,1170720.0,70,0,0,0,2,17,300000,300000
1781623949.179,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,9,3.6,0,0,94584.0,1155808.0,71,0,0,0,0,15,0,20000000
1781623949.179,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623949.179,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623949.179,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623950.185,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,11,1,0,8,3.0,0,0,0.0,1191016.0,0,0,0,0,2,17,300000,300000
1781623950.185,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,8,2.9,0,0,93104.0,1170720.0,70,0,0,0,2,17,300000,300000
1781623950.185,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,9,3.6,0,0,94584.0,1155808.0,71,0,0,0,0,15,0,20000000
1781623950.185,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623950.185,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623950.185,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623951.186,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,15,1,0,8,3.1,0,0,0.0,1220632.0,0,0,0,0,2,17,300000,300000
1781623951.186,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,7,2.8,0,0,93744.0,1126416.0,70,0,0,0,2,17,300000,300000
1781623951.186,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,9,3.7,0,0,95296.0,1169792.0,72,0,0,0,0,15,0,20000000
1781623951.186,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623951.186,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623951.186,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623952.183,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,9,1,0,8,3.4,0,0,0.0,1154696.0,0,0,0,0,2,17,300000,300000
1781623952.183,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,13,1,28,7,2.7,0,0,93488.0,1202128.0,70,0,0,0,2,17,300000,300000
1781623952.183,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,3.3,0,0,95808.0,1173360.0,72,0,0,0,0,15,0,20000000
1781623952.183,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,17,300000,300000
1781623952.183,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,17,300000,300000
1781623952.183,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,15,0,20000000
1781623953.185,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,9,1,0,9,4.0,0,0,0.0,1012560.0,0,0,0,0,2,13,300000,300000
1781623953.185,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,15,1,28,8,2.5,0,0,94456.0,1286856.0,71,0,0,0,2,18,300000,300000
1781623953.185,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,8,2.8,0,0,92976.0,1174112.0,70,0,0,0,0,16,0,20000000
1781623953.185,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,18,300000,300000
1781623953.185,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,18,300000,300000
1781623953.185,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,16,0,20000000
1781623954.186,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,14,1,0,9,4.0,0,0,0.0,1017832.0,0,0,0,0,2,13,300000,300000
1781623954.186,61443,gnbd_001_001_00000213_1,1,2,PERFORMANCE,11,1,28,7,2.5,0,0,94456.0,1282600.0,71,0,0,0,2,18,300000,300000
1781623954.186,61445,gnbd_001_001_00000213_1,2,3,BUSINESS,15,1,28,7,2.8,0,0,95936.0,1157016.0,72,0,0,0,0,16,0,20000000
1781623954.186,61442,gnbd_001_001_00000213_2,0,1,CRITICAL,15,1,28,1,2.1,-0.0,0,70048.0,833968.0,52,0,0,0,2,18,300000,300000
1781623954.186,61444,gnbd_001_001_00000213_2,1,2,PERFORMANCE,15,1,28,4,1.2,-0.1,0,38568.0,485096.0,29,0,0,0,2,18,300000,300000
1781623954.186,61446,gnbd_001_001_00000213_2,2,3,BUSINESS,15,1,28,2,1.4,-0.2,0,32192.0,531256.0,24,0,0,0,0,16,0,20000000
1781623955.186,61441,gnbd_001_001_00000213_1,0,1,CRITICAL,11,1,0,9,3.9,0,0,0.0,1009864.0,0,0,0,0,2,13,300000,300000
